name,id,nametype,recclass,fall,year,reclat,reclong,mass (Kg)
Seagraves,23469,Valid,OC,Found,1962,32.93333,-102.58333,13.0
Slovak,23647,Valid,OC,Found,1962,34.65,-91.58333,8.22
Ste. Marguerite,23099,Valid,OC,Fell,1962,50.76667,3.0,4.96
Toulon,24035,Valid,OC,Found,1962,41.11667,-89.80833,1.2145
Northampton,17009,Valid,UN,Found,1963,42.31667,-72.63333,0.353
Monte Colina,16724,Valid,OC,Found,1963,-29.4,139.98333,0.1168
Fremont Butte,10181,Valid,OC,Found,1963,38.5,-105.5,6.647
Hoxie,11915,Valid,OC,Fell,1963,39.35,-100.45,0.2661
Waka,24200,Valid,OC,Found,1963,36.15,-101.05,11.875
Inner Mongolia,12037,Valid,OC,Fell,1963,41.0,112.0,3.0
Zaisan,30388,Valid,OC,Fell,1963,47.5,83.0,0.463
Salla,23110,Valid,OC,Found,1963,66.8,28.45,7.0
Lahoma,12432,Valid,OC,Found,1963,36.38333,-98.08333,21.8
Plainview (c),18843,Valid,OC,Found,1963,34.125,-101.75667,0.631
Hassayampa,11851,Valid,OC,Found,1963,33.75,-112.66667,16.0
Lucerne Valley 001,14725,Valid,OC,Found,1963,34.5,-116.95,0.0158
Lucerne Valley 003,14727,Valid,OC,Found,1963,34.5,-116.95,0.0075
Carnegie,5278,Valid,OC,Found,1963,35.16667,-98.64389,132.7
Warburton Range,24212,Valid,MIM,Found,1963,-26.28333,126.66667,56.93
Mulberry Draw,16845,Valid,OC,Found,1963,35.63333,-100.13333,9.716
Tobe,24014,Valid,OC,Found,1963,37.2,-103.58333,5.386
Talpa,23793,Valid,OC,Found,1963,31.86667,-99.58333,13.0
Mosquero,16757,Valid,OC,Found,1963,35.75,-103.93333,1.8
Peace River,18180,Valid,OC,Fell,1963,56.13333,-117.93333,45.76
Lucerne Valley 007,14731,Valid,OC,Found,1963,34.5,-116.95,0.0048
Lucerne Valley 002,14726,Valid,OC,Found,1963,34.5,-116.95,0.0058
Clovis (no. 2),5386,Valid,OC,Found,1963,34.3,-103.13333,41.3
Usti Nad Orlici,24132,Valid,OC,Fell,1963,49.975,16.375,1.269
Karatu,12258,Valid,OC,Fell,1963,-3.5,35.58333,2.22
Mulga (south),16848,Valid,OC,Found,1963,-30.2,126.36667,0.894
Atwood,4891,Valid,OC,Found,1963,40.51667,-103.26667,2.1
Lucerne Valley 006,14730,Valid,OC,Found,1963,34.5,-116.95,0.0269
Lucerne Valley 005,14729,Valid,OC,Found,1963,34.5,-116.95,0.0031
Lucerne Valley 004,14728,Valid,OC,Found,1963,34.5,-116.95,0.037399999999999996
Jonah,12200,Valid,OC,Found,1963,30.625,-97.53333,1.304
Ohuma,17996,Valid,OC,Fell,1963,6.75,8.5,7.7
Buckleboo,5160,Valid,OC,Found,1963,-32.95556,136.1375,0.992
Grassland,10959,Valid,OC,Found,1964,33.11667,-101.58333,4.4
Neptune Mountains,16944,Valid,NMIM,Found,1964,-83.25,-55.0,1.07
Plains,18839,Valid,OC,Found,1964,33.28333,-102.76667,34.3
Sargiin Gobi,23179,Valid,NMIM,Found,1964,45.9835,105.75883,17.5
Muzaffarpur,16885,Valid,NMIM,Fell,1964,26.13333,85.53333,1.245
Claytonville,5375,Valid,OC,Found,1964,34.34667,-101.49,15.6
Mayerthorpe,15449,Valid,NMIM,Found,1964,53.775,-115.03333,12.61
Yingde,30363,Valid,MIM,Found,1964,24.2,113.4,3000.0
Muslyumovo,16884,Valid,OC,Found,1964,55.3,53.2,10.58
Pomozdino,18863,Valid,AA,Found,1964,62.2,54.16667,0.327
Mulga (north),16847,Valid,OC,Found,1964,-30.18333,126.36667,19.9
Wolamo,24324,Valid,OC,Fell,1964,9.0,39.0,0.1664
Frenchman Bay,10182,Valid,OC,Found,1964,-30.60833,115.16667,8.8
Atwood (b),4892,Valid,OC,Found,1964,40.51667,-103.26667,0.077
Loop (c),14704,Valid,OC,Found,1964,32.98333,-102.38833,0.861
Chernyi Bor,5339,Valid,OC,Fell,1964,53.7,30.1,6.0
Stratton,23730,Valid,OC,Found,1964,39.22167,-102.59,0.121
Loop (b),14703,Valid,OC,Found,1964,32.99167,-102.38833,1.6
Çanakkale,5250,Valid,OC,Fell,1964,39.8,26.6,4.0
Leshan,12770,Valid,NMIM,Found,1964,29.6,103.7,0.344
Corowa,5446,Valid,MIM,Found,1964,-36.0,146.36667,11.34
Lucerne Valley 008,14732,Valid,OC,Found,1964,34.5,-116.95,0.002
Karasburg,12257,Valid,MIM,Found,1964,-27.66667,18.96667,12.0
Sutton,23763,Valid,OC,Found,1964,40.6,-97.86667,7.6
Changxing,5323,Valid,OC,Found,1964,31.33333,121.66667,27.9
Wellman (c),24239,Valid,OC,Found,1964,33.03333,-102.33333,45.0
Wellman (b),24238,Valid,OC,Found,1964,33.025,-102.41667,0.343
Mount Padbury,16785,Valid,MG,Found,1964,-25.66667,118.1,272.0
Jiange,12086,Valid,OC,Fell,1964,31.91667,104.91667,0.222
Granes,10956,Valid,OC,Fell,1964,42.9,2.25,9.0
Brownfield (1964),5152,Valid,OC,Found,1964,33.21667,-102.18333,4.1
New York,55760,Valid,MIM,Found,1965,0.0,0.0,2.95
Lucerne Valley 009,14733,Valid,OC,Found,1965,34.5,-116.95,0.003
Wallareenya,24207,Valid,MIM,Found,1965,-20.66667,118.83333,4.386
Yayjinna,30359,Valid,OC,Found,1965,-32.03333,126.175,0.2625
Kabakly,12219,Valid,OC,Found,1965,39.76667,62.51667,0.0716
Del Rio,6639,Valid,MIM,Found,1965,29.36667,-100.96667,3.596
Lucerne Valley 010,14734,Valid,OC,Found,1965,34.5,-116.95,0.0064
Kinley,12319,Valid,OC,Found,1965,52.04667,-107.23333,2.0
Hamilton (Texas),11484,Valid,OC,Found,1965,31.59333,-98.25,2.7
Tierra Blanca,23988,Valid,PA,Found,1965,34.93333,-102.01667,0.86
Tishomingo,24010,Valid,UN,Found,1965,34.25,-96.68333,260.0
Kapunda,12254,Valid,MIM,Found,1965,-34.31667,138.93333,0.542
Lone Star,14682,Valid,OC,Found,1965,34.25972,-101.40833,4.3
Little River (b),14666,Valid,OC,Found,1965,38.44,-98.06667,11.7
Bocaiuva,5092,Valid,UN,Found,1965,-17.16667,-43.83333,64.0
Norristown,16997,Valid,MIM,Found,1965,32.51667,-82.55,4.2
Hautes Fagnes,52854,Valid,OC,Found,1965,50.58333,6.16667,0.185
Revelstoke,22592,Valid,CC,Fell,1965,51.33333,-118.95,0.001
Verissimo,24163,Valid,MIM,Found,1965,-19.73333,-48.31667,14.0
Kaffir (a),12223,Valid,OC,Found,1965,34.62333,-101.91667,1.8749
Conquista,5418,Valid,OC,Fell,1965,-19.85,-47.55,20.35
Barwell,4954,Valid,OC,Fell,1965,52.56528,-1.33972,44.0
Catherwood,5298,Valid,OC,Found,1965,51.965,-107.43833,3.92
Anton,2311,Valid,OC,Found,1965,33.7825,-102.18111,41.8
Burnabbie,5173,Valid,OC,Found,1965,-32.05,126.16667,2.515
